"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs4149056"," 30010042  ","Evaluation of serum SLCO1B1 levels and genetic variants of SLCO1B1 rs4149056 and rs2306283 in patients with early and exudative age-related macular degeneration.","2018-07-17"," 0.001"," "," "," 253"," 301"," 3","+"
"rs4149056"," 30010042  ","Evaluation of serum SLCO1B1 levels and genetic variants of SLCO1B1 rs4149056 and rs2306283 in patients with early and exudative age-related macular degeneration.","2018-07-17"," 0.037"," "," "," 253"," 301"," 3","+"
"rs4149056"," 30010042  ","Evaluation of serum SLCO1B1 levels and genetic variants of SLCO1B1 rs4149056 and rs2306283 in patients with early and exudative age-related macular degeneration.","2018-07-17"," 0.037"," "," "," 253"," 301"," 3","+"
"rs7412"," 29851526  ","The role of apolipoprotein E (rs7412 and rs429358) in age-related macular degeneration.","2018-05-31"," 0.003"," "," "," 2133"," "," 1","+"
"rs429358"," 29851526  ","The role of apolipoprotein E (rs7412 and rs429358) in age-related macular degeneration.","2018-05-31"," 0.003"," "," "," 2133"," "," 1","+"
"rs1024611"," 29664944  ","CCL2 single nucleotide polymorphism of rs1024611 implicates prominence of inflammatory cascade by univariate modeling in Indian AMD.","2018-04-17"," 0.01"," "," "," 171"," "," 4","+"
"rs4586"," 29664944  ","CCL2 single nucleotide polymorphism of rs1024611 implicates prominence of inflammatory cascade by univariate modeling in Indian AMD.","2018-04-17"," 0.0001"," "," "," 171"," "," 2","+"
"rs243865"," 29582818  ","Association of exudative age-related macular degeneration with matrix metalloproteinases-2 (-1306 C/T) rs243865 gene polymorphism.",""," 0.287"," "," "," 267"," 318"," 2","+"
"rs243865"," 29582818  ","Association of exudative age-related macular degeneration with matrix metalloproteinases-2 (-1306 C/T) rs243865 gene polymorphism.",""," 0.05"," "," "," 267"," 318"," 2","+"
"rs121913059"," 29410599  ","Geographic distribution of rare variants associated with age-related macular degeneration.","2018-01-27"," 0.004"," "," "," 24"," "," 1","+"
"rs35292876"," 29410599  ","Geographic distribution of rare variants associated with age-related macular degeneration.","2018-01-27"," 0.001"," "," "," 24"," "," 1","+"
"rs141853578"," 29392637  ","Association of polymorphisms of complement factor I rs141853578 (G119R) with age-related macular degeneration in Iranian population.","2018-02-01"," 0.035"," "," Iranian"," 220"," 151"," 2","+"
"rs141853578"," 29392637  ","Association of polymorphisms of complement factor I rs141853578 (G119R) with age-related macular degeneration in Iranian population.","2018-02-01"," 0.018"," 1.51"," Iranian"," 220"," 151"," 2","+"
"rs58978565"," 29346644  ","Genome-wide analysis of disease progression in age-related macular degeneration.",""," 2.3e-08"," "," Caucasians"," "," "," 1","+"
"rs28368872"," 29346644  ","Genome-wide analysis of disease progression in age-related macular degeneration.",""," 2.9e-08"," "," Caucasians"," "," "," 1","+"
"rs142450006"," 29346644  ","Genome-wide analysis of disease progression in age-related macular degeneration.",""," 0.0006"," "," Caucasians"," "," "," 1","+"
"rs1800624"," 29317590  ","The Association Between Variants of Receptor for Advanced Glycation End Products (RAGE) Gene Polymorphisms and Age-Related Macular Degeneration.","2018-01-10"," 0.034"," 0.616"," "," 300"," 800"," 2","+"
"rs1800624"," 29317590  ","The Association Between Variants of Receptor for Advanced Glycation End Products (RAGE) Gene Polymorphisms and Age-Related Macular Degeneration.","2018-01-10"," 0.028"," 0.701"," "," 300"," 800"," 2","+"
"rs1800625"," 29317590  ","The Association Between Variants of Receptor for Advanced Glycation End Products (RAGE) Gene Polymorphisms and Age-Related Macular Degeneration.","2018-01-10"," 0.048"," 1.545"," "," 300"," 800"," 2","+"
"rs1800625"," 29317590  ","The Association Between Variants of Receptor for Advanced Glycation End Products (RAGE) Gene Polymorphisms and Age-Related Macular Degeneration.","2018-01-10"," 0.048"," "," "," 300"," 800"," 2","+"
"rs5882"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 5","+"
"rs708272"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 5","+"
"rs3764261"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 7","+"
"rs1800775"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 2","+"
"rs2303790"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 2","+"
"rs5882"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.046"," "," Lithuanian"," 206"," 807"," 5","+"
"rs708272"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.049"," "," Lithuanian"," 206"," 807"," 5","+"
"rs708272"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.021"," "," Lithuanian"," 206"," 807"," 5","+"
"rs708272"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.049"," 1.450"," Lithuanian"," 206"," 807"," 5","+"
"rs708272"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.021"," 1.710"," Lithuanian"," 206"," 807"," 5","+"
"rs3764261"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.001"," "," Lithuanian"," 206"," 807"," 7","+"
"rs5882"," 28918250  ","Associations of cholesteryl ester transfer protein (CETP) gene variants with predisposition to age-related macular degeneration.","2017-09-14"," 0.015"," "," Lithuanian"," 206"," 807"," 5","+"
"rs10490924"," 28835685  ","A prospective multicenter study on genome wide associations to ranibizumab treatment outcome for age-related macular degeneration.","2017-08-23"," 0.0023"," "," "," 205"," "," 55","+"
"rs10490924"," 28835685  ","A prospective multicenter study on genome wide associations to ranibizumab treatment outcome for age-related macular degeneration.","2017-08-23"," 0.0013"," "," "," 205"," "," 55","+"
"rs11200638"," 28637435  ","Association between polymorphism rs11200638 in the HTRA1 gene and the response to anti-VEGF treatment of exudative AMD: a meta-analysis.","2017-06-21"," 0.98","   1.06"," Caucasian"," "," "," 42","+"
"rs11200638"," 28637435  ","Association between polymorphism rs11200638 in the HTRA1 gene and the response to anti-VEGF treatment of exudative AMD: a meta-analysis.","2017-06-21"," 0.93","   1.11"," Caucasian"," "," "," 42","+"
"rs11200638"," 28637435  ","Association between polymorphism rs11200638 in the HTRA1 gene and the response to anti-VEGF treatment of exudative AMD: a meta-analysis.","2017-06-21"," 0.09","   1.22"," Caucasian"," "," "," 42","+"
"rs11200638"," 28637435  ","Association between polymorphism rs11200638 in the HTRA1 gene and the response to anti-VEGF treatment of exudative AMD: a meta-analysis.","2017-06-21"," 0.14","   0.92"," Caucasian"," "," "," 42","+"
"rs1049673"," 28557591  ","CD36 gene is associated with intraocular pressure elevation after intravitreal application of anti-VEGF agents in patients with age-related macular degeneration: Implications for the safety of the therapy.","2017-05-30"," 0.006"," "," "," 134"," "," 2","+"
"rs3211931"," 28557591  ","CD36 gene is associated with intraocular pressure elevation after intravitreal application of anti-VEGF agents in patients with age-related macular degeneration: Implications for the safety of the therapy.","2017-05-30"," 0.01"," "," "," 134"," "," 2","+"
"rs1761667"," 28557591  ","CD36 gene is associated with intraocular pressure elevation after intravitreal application of anti-VEGF agents in patients with age-related macular degeneration: Implications for the safety of the therapy.","2017-05-30"," 0.043"," "," "," 134"," "," 1","+"
"rs1049673"," 28557591  ","CD36 gene is associated with intraocular pressure elevation after intravitreal application of anti-VEGF agents in patients with age-related macular degeneration: Implications for the safety of the therapy.","2017-05-30"," 0.01"," "," "," 134"," "," 2","+"
"rs3211931"," 28557591  ","CD36 gene is associated with intraocular pressure elevation after intravitreal application of anti-VEGF agents in patients with age-related macular degeneration: Implications for the safety of the therapy.","2017-05-30"," 0.05"," "," "," 134"," "," 2","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.006"," 2.222"," Asians"," "," "," 7","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.001"," 2.537"," Asians"," "," "," 7","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.001"," 2.362"," Asians"," "," "," 7","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.024"," 2.903"," Asians"," "," "," 7","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.004"," 3.849"," Asians"," "," "," 7","+"
"rs833061"," 28400373  ","Association between VEGF-A and VEGFR-2 polymorphisms and response to treatment of neovascular AMD with anti-VEGF agents: a meta-analysis.","2016-10-21"," 0.008"," 3.339"," Asians"," "," "," 7","+"
"rs390679"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 2.14e-214"," "," "," "," "," 1","+"
"rs12140421"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 4.63e-29"," "," "," "," "," 1","+"
"rs4151672"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 8.91e-41"," "," "," "," "," 1","+"
"rs115404146"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 6.32e-12"," "," "," "," "," 1","+"
"rs1055821"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 1.93e-09"," "," "," "," "," 1","+"
"rs1063355"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 6.82e-14"," "," "," "," "," 1","+"
"rs1045216"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 4.17e-142"," "," "," "," "," 1","+"
"rs2672603"," 28343170  ","miRNAs, single nucleotide polymorphisms (SNPs) and age-related macular degeneration (AMD).",""," 7.14e-46"," "," "," "," "," 1","+"
"rs1024611"," 28095095  ","Joint association of complement component 3 and CC-cytokine ligand2 (CCL2) or complement component 3 and CFH polymorphisms in age-related macular degeneration.","2017-01-17"," 0.04"," 10"," "," 233"," 159"," 4","+"
"rs1024611"," 28095095  ","Joint association of complement component 3 and CC-cytokine ligand2 (CCL2) or complement component 3 and CFH polymorphisms in age-related macular degeneration.","2017-01-17"," 0.1"," 7.74"," "," 233"," 159"," 4","+"
"rs1024611"," 28095095  ","Joint association of complement component 3 and CC-cytokine ligand2 (CCL2) or complement component 3 and CFH polymorphisms in age-related macular degeneration.","2017-01-17"," 24.0"," "," "," 233"," 159"," 4","+"
"rs8056814"," 28011711  ","Protective coding variants in CFH and PELI3 and a variant near CTRB1 are associated with age-related macular degeneration†.",""," 1.8e-07"," 0.71"," European"," 4332"," 25268"," 1","+"
"rs10737680"," 27832277  ","Progression Rate From Intermediate to Advanced Age-Related Macular Degeneration Is Correlated With the Number of Risk Alleles at the CFH Locus.",""," 0.02"," "," "," "," "," 1","+"
"rs1061170"," 27832277  ","Progression Rate From Intermediate to Advanced Age-Related Macular Degeneration Is Correlated With the Number of Risk Alleles at the CFH Locus.",""," 0.02"," "," "," "," "," 38","+"
"rs9582036"," 26914796  ","Evaluating VEGFR1 genetic polymorphisms as a predisposition to AMD in a cohort from northern China.","2016-02-25"," 0.035"," "," "," 432"," 906"," 2","+"
"rs9554320"," 26914796  ","Evaluating VEGFR1 genetic polymorphisms as a predisposition to AMD in a cohort from northern China.","2016-02-25"," 0.035"," "," "," 432"," 906"," 1","+"
"rs9554322"," 26914796  ","Evaluating VEGFR1 genetic polymorphisms as a predisposition to AMD in a cohort from northern China.","2016-02-25"," 0.035"," "," "," 432"," 906"," 1","+"
"rs9582036"," 26914796  ","Evaluating VEGFR1 genetic polymorphisms as a predisposition to AMD in a cohort from northern China.","2016-02-25"," 0.035"," "," "," 432"," 906"," 2","+"
"rs9943922"," 26914796  ","Evaluating VEGFR1 genetic polymorphisms as a predisposition to AMD in a cohort from northern China.","2016-02-25"," 0.035"," "," "," 432"," 906"," 2","+"
"rs13095226"," 27643879  ","Evaluation of 10 AMD Associated Polymorphisms as a Cause of Choroidal Neovascularization in Highly Myopic Eyes.","2016-09-19"," 0.05"," "," Caucasian Spanish"," 431"," "," 2","+"
"rs669676"," 27643879  ","Evaluation of 10 AMD Associated Polymorphisms as a Cause of Choroidal Neovascularization in Highly Myopic Eyes.","2016-09-19"," 0.05"," "," Caucasian Spanish"," 431"," "," 1","+"
"rs13095226"," 27643879  ","Evaluation of 10 AMD Associated Polymorphisms as a Cause of Choroidal Neovascularization in Highly Myopic Eyes.","2016-09-19"," 0.05"," "," Caucasian Spanish"," 431"," "," 2","+"
"rs6904596"," 27565901  ","Pleiotropic Analysis of Lung Cancer and Blood Triglycerides.","2016-08-26"," 5.5e-06"," "," "," 113"," 657"," 4","+"
"rs6904596"," 27565901  ","Pleiotropic Analysis of Lung Cancer and Blood Triglycerides.","2016-08-26"," 1.39e-05"," "," "," 113"," 657"," 4","+"
"rs6904596"," 27565901  ","Pleiotropic Analysis of Lung Cancer and Blood Triglycerides.","2016-08-26"," 0.00024"," 1.15"," "," 113"," 657"," 4","+"
"rs6904596"," 27565901  ","Pleiotropic Analysis of Lung Cancer and Blood Triglycerides.","2016-08-26"," 5.2e-09"," "," "," 113"," 657"," 4","+"
"rs2146323"," 27404493  ","CFH Y402H and VEGF Polymorphisms and Anti-VEGF Treatment Response in Exudative Age-Related Macular Degeneration.","2016-07-13"," 0.002"," "," Turkish"," 42"," 11"," 2","+"
"rs699947"," 27404493  ","CFH Y402H and VEGF Polymorphisms and Anti-VEGF Treatment Response in Exudative Age-Related Macular Degeneration.","2016-07-13"," 0.002"," "," Turkish"," 42"," 11"," 4","+"
"rs699947"," 27404493  ","CFH Y402H and VEGF Polymorphisms and Anti-VEGF Treatment Response in Exudative Age-Related Macular Degeneration.","2016-07-13"," 0.947"," "," Turkish"," 42"," 11"," 4","+"
"rs2416323"," 27404493  ","CFH Y402H and VEGF Polymorphisms and Anti-VEGF Treatment Response in Exudative Age-Related Macular Degeneration.","2016-07-13"," 0.378"," "," Turkish"," 42"," 11"," 1","+"
"rs2672598"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.000131"," "," Chinese"," "," "," 8","+"
"rs2672598"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.11"," "," Chinese"," "," "," 8","+"
"rs2672598"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.00227"," "," Chinese"," "," "," 8","+"
"rs11200638"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.00227"," "," Chinese"," "," "," 42","+"
"rs2672598"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.026"," "," Chinese"," "," "," 8","+"
"rs11200638"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.621"," "," Chinese"," "," "," 42","+"
"rs2672598"," 27338780  ","HTRA1 promoter variant differentiates polypoidal choroidal vasculopathy from exudative age-related macular degeneration.","2016-06-24"," 0.02"," "," Chinese"," "," "," 8","+"
"rs10490924"," 27257685  ","Genetics of Unilateral and Bilateral Age-Related Macular Degeneration Severity Stages.","2016-06-03"," 0.0001"," "," "," "," 3444"," 55","+"
"rs1061170"," 27257685  ","Genetics of Unilateral and Bilateral Age-Related Macular Degeneration Severity Stages.","2016-06-03"," 0.0001"," "," "," "," 3444"," 38","+"
"rs4151667"," 27241480  ","A Novel Complotype Combination Associates with Age-Related Macular Degeneration and High Complement Activation Levels in vivo.","2016-05-31"," 5.84e-13"," "," "," 13"," "," 7","+"
"rs641153"," 27241480  ","A Novel Complotype Combination Associates with Age-Related Macular Degeneration and High Complement Activation Levels in vivo.","2016-05-31"," 8.31e-09"," "," "," 13"," "," 12","+"
"rs1061170"," 27151934  ","Association of the polymorphism Y402H in the CFH gene with response to anti-VEGF treatment in age-related macular degeneration: a systematic review and meta-analysis.","2016-05-06"," 0.017","   1.932"," "," 2963"," "," 38","+"
"rs1061170"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 38","+"
"rs10490924"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 55","+"
"rs2230199"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 18","+"
"rs10468017"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 10","+"
"rs4151667"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 7","+"
"rs547154"," 27099955  ","Single-Nucleotide Polymorphisms Associated With Age-Related Macular Degeneration and Lesion Phenotypes in the Comparison of Age-Related Macular Degeneration Treatments Trials.",""," 835.0"," "," "," 1150"," "," 12","+"
"rs2230199"," 26961928  ","Dietary folate, B vitamins, genetic susceptibility and progression to advanced nonexudative age-related macular degeneration with geographic atrophy: a prospective cohort study.",""," 0.0005"," "," "," 3"," "," 18","+"
"rs2230199"," 26961928  ","Dietary folate, B vitamins, genetic susceptibility and progression to advanced nonexudative age-related macular degeneration with geographic atrophy: a prospective cohort study.",""," 0.76"," "," "," 3"," "," 18","+"
"rs12153855"," 26861912  ","Associations of 6p21.3 Region with Age-related Macular Degeneration and Polypoidal Choroidal Vasculopathy.","2016-02-10"," 0.00028"," 1.80"," "," 419"," 1316"," 2","+"
"rs9391734"," 26861912  ","Associations of 6p21.3 Region with Age-related Macular Degeneration and Polypoidal Choroidal Vasculopathy.","2016-02-10"," 0.00022"," 0.49"," "," 419"," 1316"," 2","+"
"rs7747909"," 26765636  ","Functional single nucleotide polymorphism in IL-17A 3' untranslated region is targeted by miR-4480 in vitro and may be associated with age-related macular degeneration.","2015-09-10"," 0.05"," "," Caucasian"," "," "," 1","+"
"rs9274390"," 26733291  ","Common coding variants in the HLA-DQB1 region confer susceptibility to age-related macular degeneration.","2016-01-06"," 1.4e-11"," 1.21"," "," 4841"," 790"," 2","+"
"rs41563814"," 26733291  ","Common coding variants in the HLA-DQB1 region confer susceptibility to age-related macular degeneration.","2016-01-06"," 3.9e-10"," 1.22"," "," 4841"," 790"," 2","+"
"rs9274390"," 26733291  ","Common coding variants in the HLA-DQB1 region confer susceptibility to age-related macular degeneration.","2016-01-06"," 0.0013"," 1.28"," "," 4841"," 790"," 2","+"
"rs41563814"," 26733291  ","Common coding variants in the HLA-DQB1 region confer susceptibility to age-related macular degeneration.","2016-01-06"," 0.0009"," 1.32"," "," 4841"," 790"," 2","+"
"rs1061170"," 29912491  ","Association between Y402H, E318D and R102G polymorphisms of complement proteins genes and the response to intravitreal anti-VEGF treatment in patients with neovascular age-related macular degeneration.",""," 0.0052"," 7.67"," "," "," 58"," 38","+"
"rs1061170"," 29912491  ","Association between Y402H, E318D and R102G polymorphisms of complement proteins genes and the response to intravitreal anti-VEGF treatment in patients with neovascular age-related macular degeneration.",""," 0.0194"," 0.31"," "," "," 58"," 38","+"
"rs1061170"," 29912491  ","Association between Y402H, E318D and R102G polymorphisms of complement proteins genes and the response to intravitreal anti-VEGF treatment in patients with neovascular age-related macular degeneration.",""," 0.0194"," "," "," "," 58"," 38","+"
"rs1061170"," 29912491  ","Association between Y402H, E318D and R102G polymorphisms of complement proteins genes and the response to intravitreal anti-VEGF treatment in patients with neovascular age-related macular degeneration.",""," 0.0194"," "," "," "," 58"," 38","+"
"rs10490924"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 55","+"
"rs11200638"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 42","+"
"rs3793917"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 3","+"
"rs393955"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 1","+"
"rs1061170"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 38","+"
"rs2274700"," 26681391  ","Reticular Pseudodrusen and Their Association with Age-Related Macular Degeneration: The Melbourne Collaborative Cohort Study.","2015-12-08"," 0.05"," "," "," 21130"," "," 8","+"
"rs12778366"," 26656366  ","Single Nucleotide Polymorphisms of the Sirtuin 1 (SIRT1) Gene are Associated With age-Related Macular Degeneration in Chinese Han Individuals: A Case-Control Pilot Study.",""," 0.05"," "," Chinese"," "," "," 2","+"
"rs3740051"," 26656366  ","Single Nucleotide Polymorphisms of the Sirtuin 1 (SIRT1) Gene are Associated With age-Related Macular Degeneration in Chinese Han Individuals: A Case-Control Pilot Study.",""," 0.05"," "," Chinese"," "," "," 1","+"
"rs4746720"," 26656366  ","Single Nucleotide Polymorphisms of the Sirtuin 1 (SIRT1) Gene are Associated With age-Related Macular Degeneration in Chinese Han Individuals: A Case-Control Pilot Study.",""," 0.05"," "," Chinese"," "," "," 1","+"
"rs12778366"," 26656366  ","Single Nucleotide Polymorphisms of the Sirtuin 1 (SIRT1) Gene are Associated With age-Related Macular Degeneration in Chinese Han Individuals: A Case-Control Pilot Study.",""," 0.05"," "," Chinese"," "," "," 2","+"
"rs1883025"," 26608582  ","ABCA1 rs1883025 polymorphism and risk of age-related macular degeneration.","2015-11-25"," 0.05"," "," Caucasian Asian"," 25445"," 36460"," 5","+"
"rs1883025"," 26608582  ","ABCA1 rs1883025 polymorphism and risk of age-related macular degeneration.","2015-11-25"," 0.05"," "," Caucasian Asian"," 25445"," 36460"," 5","+"
"rs10490924"," 26542071  ","Pachychoroid neovasculopathy and age-related macular degeneration.","2015-11-06"," 0.029"," "," Japanese"," 200"," 39"," 55","+"
"rs800292"," 26542071  ","Pachychoroid neovasculopathy and age-related macular degeneration.","2015-11-06"," 0.013"," "," Japanese"," 200"," 39"," 16","+"
"rs2230299"," 26505407  ","Association between a functional genetic polymorphism (rs2230199) and age-related macular degeneration risk: a meta-analysis.","2015-10-16"," 0.0"," 1.571"," Caucasian Asian"," 5593"," 5181"," 3","+"
"rs2230299"," 26505407  ","Association between a functional genetic polymorphism (rs2230199) and age-related macular degeneration risk: a meta-analysis.","2015-10-16"," 0.0"," 1.681"," Caucasian Asian"," 5593"," 5181"," 3","+"
"rs2230299"," 26505407  ","Association between a functional genetic polymorphism (rs2230199) and age-related macular degeneration risk: a meta-analysis.","2015-10-16"," 0.0"," 1.597"," Caucasian Asian"," 5593"," 5181"," 3","+"
"rs3764261"," 26503844  ","CETP/LPL/LIPC gene polymorphisms and susceptibility to age-related macular degeneration.","2015-10-27"," 0.001"," 1.13"," Americans Europeans"," "," "," 7","+"
"rs10468017"," 26503844  ","CETP/LPL/LIPC gene polymorphisms and susceptibility to age-related macular degeneration.","2015-10-27"," 0.001"," 0.81"," Americans Europeans"," "," "," 10","+"
"rs12678919"," 26503844  ","CETP/LPL/LIPC gene polymorphisms and susceptibility to age-related macular degeneration.","2015-10-27"," 0.17"," 1.01"," Americans Europeans"," "," "," 2","+"
